variant,condition,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,delta_to_full_mean,delta_to_full_sd,params_m,seeds
full,2Nm_0dB,0.9994,0.0012,0.9993999662481016,0.001200067503797,0.0,0.0,7.380173,5
full,4Nm_-8dB,0.8961,0.0971675871883212,0.8902868315874652,0.1092339834646457,0.0,0.0,7.380173,5
full,4Nm_0dB,0.97,0.0413122257933411,0.968321163110166,0.0444553067289029,0.0,0.0,7.380173,5
