variant,condition,seed,params_m,accuracy,macro_precision,macro_recall,macro_f1
attention_dim_128,2Nm_0dB,20260814,4.601037,0.984,0.9851851851851852,0.984,0.9839743589743589
attention_dim_128,4Nm_0dB,20260814,4.601037,0.9165,0.9374462394737794,0.9165000000000001,0.9135310694214415
attention_dim_128,4Nm_-8dB,20260814,4.601037,0.7855,0.8863865896041341,0.7855000000000001,0.7837856359152988
direct_softmax,2Nm_0dB,20260814,7.380167,0.9365,0.9418715305313242,0.9365,0.9363926950193046
direct_softmax,4Nm_0dB,20260814,7.380167,0.7455,0.8562616716654405,0.7455,0.7222434721244938
direct_softmax,4Nm_-8dB,20260814,7.380167,0.2035,0.3401606425702811,0.20350000000000001,0.07379598703190639
equal_weights,2Nm_0dB,20260814,7.359685,1.0,1.0,1.0,1.0
equal_weights,4Nm_0dB,20260814,7.359685,1.0,1.0,1.0,1.0
equal_weights,4Nm_-8dB,20260814,7.359685,0.919,0.9242374635257672,0.9189999999999999,0.9173232560626892
homogeneous_vibration,2Nm_0dB,20260815,5.976013,1.0,1.0,1.0,1.0
homogeneous_vibration,4Nm_0dB,20260815,5.976013,0.999,0.9990049751243781,0.999,0.998999993749961
homogeneous_vibration,4Nm_-8dB,20260815,5.976013,0.7995,0.8178820536241916,0.7994999999999999,0.789293385831905
homogeneous_other,2Nm_0dB,20260815,8.784333,0.968,0.9720469580101516,0.968,0.9676919273775706
homogeneous_other,4Nm_0dB,20260815,8.784333,0.966,0.9696219840324645,0.966,0.965972823930171
homogeneous_other,4Nm_-8dB,20260815,8.784333,0.778,0.8219032104565631,0.778,0.7743197686848949
attention_dim_128,2Nm_0dB,20260815,4.601037,1.0,1.0,1.0,1.0
attention_dim_128,4Nm_0dB,20260815,4.601037,1.0,1.0,1.0,1.0
attention_dim_128,4Nm_-8dB,20260815,4.601037,0.7885,0.8277134504725672,0.7885,0.7791151106251848
direct_softmax,2Nm_0dB,20260815,7.380167,1.0,1.0,1.0,1.0
direct_softmax,4Nm_0dB,20260815,7.380167,0.9985,0.9985111662531019,0.9984999999999999,0.9984999789059532
direct_softmax,4Nm_-8dB,20260815,7.380167,0.7755,0.8599728890358721,0.7755,0.7644120494498241
equal_weights,2Nm_0dB,20260815,7.359685,1.0,1.0,1.0,1.0
equal_weights,4Nm_0dB,20260815,7.359685,1.0,1.0,1.0,1.0
equal_weights,4Nm_-8dB,20260815,7.359685,0.866,0.8897815801983034,0.866,0.8661612937240808
