n_train,sensitivity_full_mean,sensitivity_full_sd,sensitivity_full_source,sensitivity_no_caim_mean,sensitivity_no_caim_sd,sensitivity_no_caim_source,full_generalization_gap_mean,full_generalization_gap_sd,gap_source,paired_caim_gain_mean,paired_caim_gain_sd,paired_gain_source
1,0.5272556390977443,0.0422765118675602,controlled_sensitivity_extension,0.4450859291084855,0.0451668947490564,controlled_sensitivity_extension,0.4727443642914295,0.0422765163685665,controlled_sensitivity_extension,0.0845864661654135,0.0736198534568677,controlled_sensitivity_extension
2,0.7551597272074659,0.0847148569207332,controlled_sensitivity_extension,0.5703966259870783,0.0588735367880996,controlled_sensitivity_extension,0.2448402717709541,0.084714850164939,controlled_sensitivity_extension,0.1792444364680545,0.0712027370469892,controlled_sensitivity_extension
3,0.8020421014753508,0.0745216454547454,controlled_sensitivity_extension,0.6995771860381432,0.0779593961688178,controlled_sensitivity_extension,0.1979578882455825,0.0745216578191896,controlled_sensitivity_extension,0.1064231738035264,0.0735664480088074,controlled_sensitivity_extension
4,0.9320436507936508,0.0272891240187582,controlled_sensitivity_extension,0.7932449494949495,0.0485934343086183,controlled_sensitivity_extension,0.0679563581943512,0.0272891190526614,controlled_sensitivity_extension,0.1415494227994228,0.0482303594030994,controlled_sensitivity_extension
5,0.9279,0.0288,main_manuscript_table_5,0.8437160940325497,0.0246452202669817,controlled_sensitivity_extension,0.1036618426442146,0.0390407984874573,controlled_sensitivity_extension,0.0676763110307413,0.0399885522876899,controlled_sensitivity_extension
7,0.9460650672482732,0.0389229378708155,controlled_sensitivity_extension,0.8950381679389312,0.0165461796360235,controlled_sensitivity_extension,0.0462818630799955,0.0235116643889415,controlled_sensitivity_extension,0.0567520901490367,0.0388105352514495,controlled_sensitivity_extension
10,0.9707,0.0175,main_manuscript_table_5,0.9174450549450548,0.0262000401989838,controlled_sensitivity_extension,0.0214285850524902,0.0088879822219994,controlled_sensitivity_extension,0.0592032967032966,0.0296934617352002,controlled_sensitivity_extension
