n_train,paired_gain_mean,paired_gain_sd,paired_gain_untrimmed_mean,paired_gain_untrimmed_sd,caim_gain_mean,caim_gain_sd,caim_gain_untrimmed_mean,caim_gain_untrimmed_sd,seeds,seeds_total,retained_after_trim,aggregation
1,0.08458646616541354,0.0736198534568677,0.09434300035803796,0.10064755062803549,0.08458646616541354,0.0736198534568677,0.09434300035803796,0.10064755062803549,10,10,8,trimmed_mean_sd_drop_one_high_one_low
2,0.17924443646805455,0.0712027370469892,0.180689160086145,0.09111051065580883,0.17924443646805455,0.0712027370469892,0.180689160086145,0.09111051065580883,10,10,8,trimmed_mean_sd_drop_one_high_one_low
3,0.10642317380352645,0.07356644800880746,0.12403742353364519,0.12070712212208605,0.10642317380352645,0.07356644800880746,0.12403742353364519,0.12070712212208605,10,10,8,trimmed_mean_sd_drop_one_high_one_low
4,0.1415494227994228,0.04823035940309947,0.12947330447330446,0.07813114123419343,0.1415494227994228,0.04823035940309947,0.12947330447330446,0.07813114123419343,10,10,8,trimmed_mean_sd_drop_one_high_one_low
5,0.06767631103074136,0.03998855228768999,0.07262206148282094,0.06600689629940451,0.06767631103074136,0.03998855228768999,0.07262206148282094,0.06600689629940451,10,10,8,trimmed_mean_sd_drop_one_high_one_low
7,0.05675209014903672,0.038810535251449584,0.04769174845510724,0.07765368208032607,0.05675209014903672,0.038810535251449584,0.04769174845510724,0.07765368208032607,10,10,8,trimmed_mean_sd_drop_one_high_one_low
10,0.05920329670329669,0.029693461735200252,0.05963369963369962,0.04943909784646912,0.05920329670329669,0.029693461735200252,0.05963369963369962,0.04943909784646912,10,10,8,trimmed_mean_sd_drop_one_high_one_low
