variant,n_train,run_idx,seed,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,train_accuracy,heldout_accuracy,generalization_gap,split_signature,data_signature,hyperparameter_signature,source_type,train_time_s
no_caim,1,6,106,0.4983888292158969,0.5159637769190364,0.4983888292158968,0.49251085004764716,1.0,0.4983888268470764,0.5016111731529236,056c0857ab2769f3688c90b7333e2536cb8c13e025df8e56fb444227d8204284,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,255.02131310000004
full,1,7,107,0.5209452201933404,0.6793249765783644,0.5209452201933404,0.5238212978705913,1.0,0.5209451913833618,0.4790548086166382,85e68c78c4038a8b2bc256824853fdde781bb74bee5914ec21ce665580051b76,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,291.50883810000005
no_caim,1,7,107,0.45506623702112425,0.6042112316127409,0.45506623702112436,0.41156283425772766,1.0,0.4550662338733673,0.5449337661266327,85e68c78c4038a8b2bc256824853fdde781bb74bee5914ec21ce665580051b76,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,246.28729829999975
full,1,8,108,0.4915861081274615,0.5615579804387175,0.4915861081274615,0.48055230876046995,1.0,0.4915861189365387,0.5084138810634613,3a6ca6efd470d93ba45107244c3b534a69e7e13ea286038198cd41c1692f8f00,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,181.48677129999987
no_caim,1,8,108,0.40064446831364126,0.5472208632689093,0.4006444683136413,0.39592045664943026,1.0,0.4006444811820984,0.5993555188179016,3a6ca6efd470d93ba45107244c3b534a69e7e13ea286038198cd41c1692f8f00,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,96.2465259999999
full,1,9,109,0.5334765485141425,0.6482230272696377,0.5334765485141425,0.5593044424226805,1.0,0.5334765315055847,0.4665234684944153,91cd14a398502cf30f756d1a3a2c7fa98094e1135819c6c0d3a6070430f671b7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,97.20194209999954
no_caim,1,9,109,0.23558897243107768,0.22475908765334587,0.23558897243107774,0.2136671931349643,1.0,0.23558896780014038,0.7644110321998596,91cd14a398502cf30f756d1a3a2c7fa98094e1135819c6c0d3a6070430f671b7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,98.76480609999999
full,1,10,110,0.5069817400644469,0.5980911789643999,0.5069817400644469,0.501690189609702,1.0,0.5069817304611206,0.4930182695388794,32751a857996cecbb3af8b14296d8f7e7394e5df7ea25f6393791cec834769c4,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,100.93059269999958
no_caim,1,10,110,0.5381310418904404,0.5475044535847223,0.5381310418904404,0.5038889636980756,1.0,0.538131058216095,0.46186894178390503,32751a857996cecbb3af8b14296d8f7e7394e5df7ea25f6393791cec834769c4,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,89.98252169999978
full,2,1,201,0.5976310122038765,0.6776094977007675,0.5976310122038765,0.5979196601862797,1.0,0.59763103723526,0.40236896276474,aaed6e0cbf7e909ebd222bf47036cd1c7b252af6490eb089c52bf89b37ce35e2,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,95.18735029999971
