case,load,n_train,seed,snr_db,method,accuracy,macro_precision,macro_recall,macro_f1
UO,held-out,30,20260813,,TF-SVM late fusion,0.9942084942084942,0.9942791344800455,0.9942084942084942,0.9942018451585204
UO,held-out,5,20260814,,TF-SVM early fusion,0.9696202531645569,0.9719490653146289,0.9696202531645569,0.969887366814019
UO,held-out,5,20260814,,TF-SVM late fusion,0.98625678119349,0.9864140340326186,0.9862567811934901,0.9862801272592214
UO,held-out,10,20260814,,TF-SVM early fusion,0.9967032967032967,0.9967219664879844,0.9967032967032967,0.9967051371922829
UO,held-out,10,20260814,,TF-SVM late fusion,0.9926739926739927,0.9927148382943933,0.9926739926739927,0.9926728186055643
UO,held-out,15,20260814,,TF-SVM early fusion,0.9985157699443413,0.9985310319500551,0.9985157699443414,0.9985171869046058
UO,held-out,15,20260814,,TF-SVM late fusion,0.9966604823747681,0.9966652487647342,0.9966604823747681,0.9966590216589478
UO,held-out,20,20260814,,TF-SVM early fusion,0.9988721804511278,0.9988751250683313,0.9988721804511279,0.9988721765510536
UO,held-out,20,20260814,,TF-SVM late fusion,0.9973684210526316,0.9973792233788863,0.9973684210526317,0.9973669051119096
UO,held-out,25,20260814,,TF-SVM early fusion,0.9992380952380953,0.9992391084093212,0.9992380952380951,0.9992380945608453
UO,held-out,25,20260814,,TF-SVM late fusion,0.9969523809523809,0.9969584005098474,0.996952380952381,0.9969513461090431
UO,held-out,30,20260814,,TF-SVM early fusion,0.9984555984555985,0.9984597444319928,0.9984555984555985,0.9984555935257492
UO,held-out,30,20260814,,TF-SVM late fusion,0.9957528957528957,0.9957704699558402,0.9957528957528956,0.9957496916273082
UO,held-out,5,20260815,,TF-SVM early fusion,0.8690777576853527,0.9057518696180978,0.8690777576853526,0.8676418720810414
UO,held-out,5,20260815,,TF-SVM late fusion,0.8940325497287522,0.9194537404592934,0.8940325497287523,0.8921913657792915
UO,held-out,10,20260815,,TF-SVM early fusion,0.9655677655677656,0.9680242610032437,0.9655677655677656,0.9659119807744405
UO,held-out,10,20260815,,TF-SVM late fusion,0.9622710622710623,0.9652428611153706,0.9622710622710624,0.9624532484090313
UO,held-out,15,20260815,,TF-SVM early fusion,0.9810760667903525,0.9821385045793595,0.9810760667903525,0.981148283576837
UO,held-out,15,20260815,,TF-SVM late fusion,0.9844155844155844,0.9845121668875689,0.9844155844155844,0.9843263250925313
UO,held-out,20,20260815,,TF-SVM early fusion,0.9898496240601504,0.9902718982398341,0.9898496240601504,0.989899285270476
UO,held-out,20,20260815,,TF-SVM late fusion,0.9932330827067669,0.9932950970092843,0.9932330827067669,0.9932240909738346
