case,load,n_train,snr_db,method,seeds_total,seeds_used,retained_after_trim,aggregation,accuracy_mean,accuracy_sd,accuracy_untrimmed_mean,accuracy_untrimmed_sd,macro_f1_mean,macro_f1_sd,macro_f1_untrimmed_mean,macro_f1_untrimmed_sd,macro_precision_mean,macro_precision_sd,macro_precision_untrimmed_mean,macro_precision_untrimmed_sd,macro_recall_mean,macro_recall_sd,macro_recall_untrimmed_mean,macro_recall_untrimmed_sd
UO,held-out,5,,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8897830018083183,0.05707292800398747,0.8856419529837252,0.06852887792505062,0.8876648360020751,0.058902790974839477,0.883063965859559,0.07123792789693541,0.9050075414604908,0.04772520377881249,0.9044897106880307,0.05282169709655656,0.8897830018083182,0.057072928003987486,0.8856419529837251,0.06852887792505062
UO,held-out,5,,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9085895117540687,0.05065187903573491,0.9031826401446654,0.06604478391171108,0.905664066234938,0.053202588876199705,0.8996228842857275,0.06976172108658213,0.9209627496562758,0.04140403534036116,0.9198834942675054,0.04878493488520012,0.9085895117540688,0.05065187903573497,0.9031826401446654,0.06604478391171112
UO,held-out,10,,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.972893772893773,0.013207147529172115,0.9729304029304029,0.015848958005837122,0.972875976050449,0.013245050362093709,0.9730734034958932,0.015647766900217266,0.9740427401201508,0.01251146887285644,0.9744607750813692,0.014515863888958728,0.972893772893773,0.013207147529172125,0.972930402930403,0.015848958005837115
UO,held-out,10,,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9766025641025641,0.01521959012589399,0.9750549450549452,0.018488881722085126,0.9764881441999925,0.015352918882143697,0.9749078214869465,0.01866970470346044,0.9781330011547045,0.01331541605204024,0.976541220292243,0.016890201243635432,0.9766025641025642,0.015219590125893946,0.9750549450549452,0.01848888172208508
UO,held-out,15,,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9895176252319109,0.0038728433664467756,0.9894990723562153,0.005341295259527008,0.9895374383336182,0.0038523355080970333,0.9895274767566816,0.005308424058310092,0.9898482171781018,0.003582337762948323,0.9898278840496936,0.0050696733673371245,0.9895176252319109,0.003872843366446769,0.989499072356215,0.005341295259527042
UO,held-out,15,,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9900278293135436,0.004800276492415863,0.9892022263450835,0.006657251633746735,0.9900021092937522,0.004827076216323372,0.9891428661824808,0.006751883366054881,0.9901656930231324,0.004669121518285271,0.9894491147870283,0.006310755997764837,0.9900278293135436,0.004800276492415892,0.9892022263450835,0.006657251633746749
UO,held-out,20,,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9939849624060151,0.002224090144022412,0.9939849624060152,0.0029553750386516584,0.9939864480798196,0.0022137706056996834,0.9939869262714296,0.002947884360677797,0.9940849460255177,0.002124249131610778,0.994069234872095,0.0028899568491184903,0.9939849624060151,0.0022240901440224187,0.9939849624060152,0.0029553750386516805
UO,held-out,20,,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9943139097744361,0.0011501163769286162,0.9919172932330828,0.00832220788618343,0.9943110868734258,0.0011456533682642257,0.9918596269801784,0.008484512626704464,0.9943758551198492,0.0010952865998973792,0.9921909005732308,0.0076716653975003315,0.9943139097744361,0.0011501163769286039,0.9919172932330829,0.008322207886183444
UO,held-out,25,,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9968095238095238,0.0015230652944494634,0.9963047619047618,0.002789289525026368,0.9968063409011575,0.0015281771492854054,0.9963046713942338,0.0027849361677393155,0.9968316123010725,0.0015104774014309352,0.9963588521503987,0.0026967196689284185,0.9968095238095238,0.001523065294449448,0.9963047619047618,0.00278928952502632
UO,held-out,25,,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9951904761904762,0.0017657615445465671,0.9941333333333333,0.004653859978384913,0.9951866345331479,0.0017696910322459974,0.9941102631681368,0.004709019548123651,0.9952378405621073,0.001740555953494358,0.9942866741423213,0.004340143996562859,0.9951904761904762,0.0017657615445465858,0.9941333333333334,0.004653859978384923
UO,held-out,30,,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9972972972972973,0.0011900413133144826,0.9973359073359072,0.0014285714285714225,0.9972977828712275,0.0011892433030241869,0.9973357055495422,0.0014288439123495375,0.997312131255537,0.0011815147664486362,0.9973495888022272,0.0014203802598885755,0.9972972972972973,0.0011900413133144377,0.9973359073359072,0.00142857142857141
UO,held-out,30,,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9960424710424711,0.0017561202122258817,0.9958301158301157,0.0025010246703786403,0.9960399594494145,0.0017573961514446628,0.9958258669352029,0.002506135187307805,0.9960741228131628,0.001731420841269304,0.9958856380452389,0.0024295624330851182,0.9960424710424711,0.001756120212225891,0.9958301158301157,0.0025010246703786225
KAIST,2Nm,5,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.6358124999999999,0.09635738733356151,0.6286,0.11064126716555626,0.6167038250395087,0.09957634599892391,0.6132375432723254,0.11160131339857012,0.6384491871214575,0.11661307315597251,0.6306058419740532,0.1271787901698374,0.6358125,0.09635738733356151,0.6286,0.11064126716555625
KAIST,2Nm,5,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8533125,0.0376513093231829,0.8573999999999999,0.04722859303430496,0.853015667125633,0.03768926983140431,0.8569544354035654,0.04757713556333801,0.8656793426154079,0.032878063817553496,0.8696978678871876,0.041478957142649646,0.8533125,0.037651309323182926,0.8573999999999999,0.04722859303430497
KAIST,4Nm,5,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.5911875,0.08654837429871227,0.58455,0.0992006678404939,0.5822916210801858,0.08800974673940999,0.5787275435807222,0.09942892328459818,0.6099134167882301,0.10492059477932773,0.6055829581996197,0.11493068062347547,0.5911875,0.08654837429871227,0.58455,0.09920066784049389
KAIST,4Nm,5,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.786,0.04299055128746315,0.78845,0.05726405940902198,0.7891174427197662,0.04247831510904833,0.7908193243397907,0.05747381276632437,0.8278854519808797,0.03214219182118917,0.8263055174603575,0.04570984340486812,0.786,0.04299055128746316,0.78845,0.057264059409021996
KAIST,2Nm,10,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8309375,0.025523809350290957,0.8224,0.05218946253794917,0.8303966952387691,0.025743622176696457,0.822774514182542,0.05041798270303102,0.8376634265137275,0.025310200225046837,0.8311278353976421,0.0472556709295531,0.8309375,0.025523809350290933,0.8224,0.05218946253794915
KAIST,2Nm,10,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.940875,0.015418637261444336,0.93835,0.021382294077109683,0.9407982474642438,0.015443002114657788,0.938320584076231,0.02124215173251258,0.9456279631176281,0.013452188156042296,0.942874880266689,0.020252366514965585,0.940875,0.015418637261444358,0.93835,0.021382294077109665
KAIST,4Nm,10,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.7560625000000001,0.03445054199501077,0.75085,0.047860239238850466,0.7608750827527307,0.03602933304896717,0.7576550144035192,0.04621542315296887,0.7900750082205888,0.026804838535773718,0.7885703166560575,0.039588996203142476,0.7560625,0.03445054199501075,0.75085,0.04786023923885044
KAIST,4Nm,10,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.883,0.03360617502781297,0.88225,0.038656985138523156,0.8850407333908225,0.03301021656531937,0.8847468103503667,0.03719441902573592,0.907175489614509,0.02192602563748495,0.90624182509428,0.025439915117139555,0.8830000000000001,0.03360617502781296,0.88225,0.03865698513852317
KAIST,2Nm,15,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8850625,0.011571618026447296,0.8832000000000001,0.021095260131128984,0.8856476252349083,0.011234582254491253,0.8834818660217717,0.021031321906399458,0.8894257806601682,0.010717210341253702,0.8894247665599885,0.014981928031606102,0.8850625,0.011571618026447298,0.8832000000000001,0.021095260131128987
KAIST,2Nm,15,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.97275,0.008591420138719778,0.9709,0.015709551234837978,0.9727630160904959,0.008616001296070602,0.9709278957074281,0.015681701358155133,0.9736566433599733,0.008107635576484999,0.9717098567284221,0.015393528246528029,0.97275,0.008591420138719804,0.9709,0.01570955123483802
KAIST,4Nm,15,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.80975,0.022956480566497975,0.80955,0.028831796683522856,0.8172637706972279,0.021313812405659466,0.8167310519362262,0.027255778510440504,0.8485447166411211,0.011198621912015271,0.8467133703696561,0.018163710913990827,0.80975,0.022956480566498006,0.80955,0.02883179668352286
KAIST,4Nm,15,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9277500000000001,0.008926785535678545,0.9257500000000001,0.018312905285617565,0.9295679509932535,0.008425067330643816,0.9276159952101464,0.017477334750744335,0.9410727636926715,0.0053307376785230705,0.9382405314801006,0.015364682710169098,0.9277500000000001,0.008926785535678572,0.9257500000000001,0.01831290528561758
KAIST,2Nm,20,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.90925,0.006490377492873605,0.90815,0.012110016515265396,0.9090844413677248,0.006425944474687528,0.9080986793691854,0.011783253068392853,0.9123167193809808,0.005881577443832131,0.91130821257546,0.010678464783560344,0.90925,0.006490377492873577,0.90815,0.012110016515265365
KAIST,2Nm,20,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.97675,0.006025985396596984,0.9766499999999999,0.007078311945654857,0.9767395321742279,0.006038629607671826,0.9766134427641818,0.007123490223056719,0.9774900460217731,0.005394263874970746,0.9774521291546137,0.006342349507278796,0.97675,0.0060259853965969785,0.9766499999999999,0.0070783119456548525
KAIST,4Nm,20,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8523125,0.016203659887506893,0.85235,0.02516450873750568,0.85776625066641,0.01453473147004716,0.8576005478723691,0.022898653108868974,0.8794184347741619,0.007455551361454539,0.878362876474991,0.013646331381030883,0.8523125,0.016203659887506924,0.85235,0.025164508737505697
KAIST,4Nm,20,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9426874999999999,0.006923409113290908,0.94195,0.009745383522468459,0.9437302809835785,0.006688858515029888,0.9431578356248818,0.009051406459776519,0.9512108874767974,0.0037330371522527146,0.9510803133973701,0.004870871098406915,0.9426875000000001,0.006923409113290938,0.9419500000000001,0.00974538352246848
KAIST,2Nm,25,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9333750000000001,0.006392133837772774,0.9339000000000001,0.008708616422830887,0.9333069507314256,0.00635584518311531,0.9337977208851598,0.008718730547566325,0.9353053767246591,0.007317226315959887,0.9354923602353693,0.009242178171397124,0.9333750000000001,0.006392133837772846,0.9339000000000001,0.00870861642283095
KAIST,2Nm,25,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9845625,0.004811688243226064,0.9846,0.005388877434122981,0.9845615793821907,0.0048130985713822185,0.9845951004183828,0.005395879538196625,0.9848511429681148,0.004589143989002463,0.9848262345928804,0.005240208269645162,0.9845625,0.0048116882432260736,0.9846,0.005388877434123017
KAIST,4Nm,25,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8823125,0.008015366102056725,0.88355,0.014448961900427321,0.8858903698105209,0.0076646978610010715,0.8868206198467931,0.013838724955542248,0.8999658432688622,0.008593847479779535,0.8992860886498762,0.012825874171463377,0.8823125,0.008015366102056712,0.88355,0.014448961900427314
KAIST,4Nm,25,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.94575,0.008351646544245016,0.9459500000000001,0.011404933143162205,0.9465051951549288,0.008153738611405397,0.946913458229084,0.010879951964395809,0.9540842715988975,0.006429080763227442,0.9542973635114723,0.008490465485288534,0.9457500000000001,0.008351646544245084,0.9459500000000001,0.01140493314316226
KAIST,2Nm,30,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.94275,0.007705517503711224,0.94215,0.01041405300543453,0.9426847799959333,0.007654623438593073,0.94202511236391,0.010488066284978136,0.94438301204093,0.006956905455085303,0.9443362986949703,0.008628080482033399,0.94275,0.007705517503711234,0.94215,0.010414053005434553
KAIST,2Nm,30,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9881875,0.0038966131126915845,0.98795,0.005179044313384469,0.988171901424588,0.003900937721426768,0.987958442729816,0.005143209937653911,0.9883495993099874,0.003748362038434109,0.98822975481343,0.004828327350650445,0.9881875,0.003896613112691548,0.9879499999999999,0.005179044313384447
KAIST,4Nm,30,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8955,0.011535271995059338,0.8974,0.01616601373251923,0.8985197149167531,0.010537671832315205,0.9005048854592127,0.014936567488917165,0.9131477385783467,0.004806521092149045,0.9135073038003967,0.010432617806257163,0.8955,0.011535271995059314,0.8974,0.016166013732519205
KAIST,4Nm,30,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.95875,0.012321221530351598,0.9583499999999999,0.015639773016255694,0.9594734708394814,0.01188124115183593,0.9589840690775422,0.015307220283101115,0.9642199608571891,0.009006968480767208,0.9644558594196143,0.011066710558983535,0.95875,0.012321221530351584,0.9583499999999999,0.01563977301625567
KAIST-noise,2Nm,30,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.94275,0.007705517503711224,0.94215,0.01041405300543453,0.9426847799959333,0.007654623438593073,0.94202511236391,0.010488066284978136,0.94438301204093,0.006956905455085303,0.9443362986949703,0.008628080482033399,0.94275,0.007705517503711234,0.94215,0.010414053005434553
KAIST-noise,2Nm,30,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.9881875,0.0038966131126915845,0.98795,0.005179044313384469,0.988171901424588,0.003900937721426768,0.987958442729816,0.005143209937653911,0.9883495993099874,0.003748362038434109,0.98822975481343,0.004828327350650445,0.9881875,0.003896613112691548,0.9879499999999999,0.005179044313384447
KAIST-noise,2Nm,30,-4.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
KAIST-noise,2Nm,30,-4.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
KAIST-noise,2Nm,30,-8.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
KAIST-noise,2Nm,30,-8.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
KAIST-noise,4Nm,30,0.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.8955,0.011535271995059338,0.8974,0.01616601373251923,0.8985197149167531,0.010537671832315205,0.9005048854592127,0.014936567488917165,0.9131477385783467,0.004806521092149045,0.9135073038003967,0.010432617806257163,0.8955,0.011535271995059314,0.8974,0.016166013732519205
KAIST-noise,4Nm,30,0.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.95875,0.012321221530351598,0.9583499999999999,0.015639773016255694,0.9594734708394814,0.01188124115183593,0.9589840690775422,0.015307220283101115,0.9642199608571891,0.009006968480767208,0.9644558594196143,0.011066710558983535,0.95875,0.012321221530351584,0.9583499999999999,0.01563977301625567
KAIST-noise,4Nm,30,-4.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
KAIST-noise,4Nm,30,-4.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
KAIST-noise,4Nm,30,-8.0,TF-SVM early fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
KAIST-noise,4Nm,30,-8.0,TF-SVM late fusion,10,8,8,trimmed_mean_sd_drop_one_high_one_low,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.04,0.0,0.039999999999999994,6.938893903907228e-18,0.2,0.0,0.2,0.0
