source_type,reference_type,source_table,case,load,n_train,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,macro_precision_mean,macro_precision_sd,macro_recall_mean,macro_recall_sd,runs,retained_after_trim,aggregation,benchmark_scope,comparison_type
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,25,CFFN,0.9303,0.0136,0.9295,0.0139,0.9314,0.0132,0.9986190476190477,0.001290994448735795,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,30,CFFN,0.9586,0.0083,0.9583,0.0084,0.959,0.008,0.9986486486486487,0.0008414862825368347,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,5,CDTFAFN,0.6237,0.076,0.5965,0.0863,0.7363,0.0276,0.7229656419529837,0.03448724163252473,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,10,CDTFAFN,0.7724,0.0288,0.7598,0.0367,0.8207,0.0177,0.8514652014652014,0.04510591536015723,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,15,CDTFAFN,0.8487,0.0351,0.842,0.0374,0.8643,0.0296,0.9096011131725417,0.030202427726139198,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,20,CDTFAFN,0.9133,0.02,0.9123,0.0206,0.9276,0.019,0.9448778195488723,0.03711534469885565,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,25,CDTFAFN,0.9145,0.0221,0.9141,0.0234,0.9314,0.0143,0.9684761904761905,0.023211342914818526,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,30,CDTFAFN,0.9633,0.0174,0.9635,0.0171,0.9678,0.0139,0.9874999999999999,0.00788660839656157,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,5,MSF-DFormer,0.7287,0.0654,0.7028,0.0781,0.7979,0.0538,0.7287070524412297,0.06540175879838817,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,10,MSF-DFormer,0.8683,0.0429,0.8652,0.0418,0.9034,0.0241,0.8682692307692308,0.04288567719668331,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,15,MSF-DFormer,0.9562,0.0177,0.9558,0.0179,0.9604,0.0152,0.9562152133580706,0.01766522169746588,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,20,MSF-DFormer,0.9752,0.009,0.9751,0.009,0.9771,0.0084,0.975234962406015,0.008982204369534487,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,25,MSF-DFormer,0.9918,0.0039,0.9918,0.0039,0.9919,0.0037,0.9918095238095238,0.0038942949143354003,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,30,MSF-DFormer,0.9892,0.0058,0.9892,0.0058,0.9896,0.0055,0.9892374517374517,0.005821791789589255,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,5,KDCNN-DF,0.7532,0.0282,0.745,0.0318,0.7593,0.0286,0.7531625,0.028171126064642834,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,10,KDCNN-DF,0.8355,0.0176,0.8338,0.0179,0.8418,0.0158,0.8355250000000001,0.017645024086126934,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,15,KDCNN-DF,0.8819,0.0085,0.881,0.0088,0.8852,0.009,0.8818625,0.008460191708820782,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,20,KDCNN-DF,0.8992,0.0109,0.8991,0.0108,0.9019,0.0096,0.8992,0.010856564834237385,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,25,KDCNN-DF,0.9295,0.0056,0.9295,0.0056,0.9304,0.0058,0.9295249999999999,0.005627999200426375,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,30,KDCNN-DF,0.9344,0.0099,0.9343,0.0099,0.9352,0.0096,0.9344125,0.009915573294066274,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,5,Full MHFL-MCA,0.9279,0.0288,0.9266,0.0299,0.9361,0.0237,0.9278933092224232,0.028785755905347064,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,10,Full MHFL-MCA,0.9707,0.0175,0.9704,0.0178,0.9723,0.016,0.9706501831501833,0.017543682052660593,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,15,Full MHFL-MCA,0.9877,0.0055,0.9876,0.0056,0.9878,0.0055,0.9876623376623377,0.00554960519894099,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,20,Full MHFL-MCA,0.9935,0.0042,0.9935,0.0042,0.9935,0.0042,0.993468045112782,0.0042028725918864685,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,25,Full MHFL-MCA,0.9947,0.0036,0.9947,0.0036,0.9948,0.0034,0.9946666666666667,0.0036190476190475556,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,30,Full MHFL-MCA,0.9938,0.0029,0.9938,0.0029,0.9939,0.0028,0.9938223938223938,0.0028503519421299935,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,5,MRCFN,0.5929,0.0446,0.5845,0.0471,0.6084,0.0437,0.6848125,0.06063669345990102,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,10,MRCFN,0.6486,0.0452,0.6397,0.05,0.6711,0.0476,0.7941874999999999,0.07397294163239691,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,15,MRCFN,0.6943,0.0397,0.6858,0.0436,0.7168,0.0409,0.8511249999999999,0.09598852470477919,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,20,MRCFN,0.7359,0.035,0.729,0.0379,0.7508,0.0353,0.829875,0.09373791588786261,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,25,MRCFN,0.7693,0.0355,0.7648,0.0369,0.7805,0.0362,0.883625,0.07342459993081342,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,30,MRCFN,0.7968,0.0282,0.7933,0.0292,0.8067,0.0301,0.8769374999999999,0.08431727191833233,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,5,CFFN,0.5829,0.0418,0.5724,0.0445,0.6013,0.0466,0.501125,0.10108219118618275,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,10,CFFN,0.6407,0.0412,0.6328,0.0456,0.665,0.0449,0.7867500000000001,0.055711309444313045,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,15,CFFN,0.6856,0.0381,0.6772,0.0415,0.7136,0.0445,0.844625,0.06353382465269976,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,20,CFFN,0.7246,0.039,0.7178,0.0416,0.7478,0.0417,0.951875,0.04940125884023606,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,25,CFFN,0.7624,0.0332,0.7576,0.0351,0.7768,0.0354,0.9335625000000001,0.06252271462236746,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,30,CFFN,0.7878,0.0297,0.7843,0.0314,0.7998,0.0317,0.783125,0.23019444905340355,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,5,CDTFAFN,0.6532,0.0336,0.6473,0.0351,0.6612,0.0361,0.5235,0.03443381332353417,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,10,CDTFAFN,0.7398,0.0289,0.7356,0.0312,0.7479,0.0344,0.8226875,0.07869042885732674,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,15,CDTFAFN,0.7898,0.0284,0.7852,0.0297,0.8008,0.0303,0.8358749999999999,0.08627454360934052,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
