Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.750135623869801,0.05791262758196195,0.731026122752517,0.06218984310102007,0.8116070922561791,0.0465356518686481,0.7501356238698011,0.057912627581961966
6,0.8696065989847717,0.04917692306982564,0.8650585973394906,0.05247786324734491,0.8967899600547435,0.03627660511439371,0.8696065989847717,0.049176923069825663
7,0.7409123954925482,0.04792632372392793,0.7224271449806701,0.05724756903642219,0.7939777544395061,0.06056156005188141,0.7409123954925482,0.04792632372392792
8,0.5898779154518952,0.09783491232874657,0.5422497552253892,0.11328658086232747,0.6341780584562495,0.09921956396428866,0.589877915451895,0.09783491232874655
9,0.8255845816587504,0.026435218077621992,0.813802332167682,0.026688838537390437,0.8720219578737467,0.02604863369861084,0.8255845816587504,0.026435218077621954
10,0.8310897435897435,0.04451357254203929,0.8237357036472418,0.04524734363380465,0.8782078702377778,0.024769424655689317,0.8310897435897436,0.044513572542039276
11,0.8412596401028277,0.03905724985568454,0.8332938453560064,0.04373777211256616,0.8801134345132853,0.022968493998855147,0.8412596401028277,0.03905724985568453
12,0.853691089837997,0.0340360048292262,0.8444092144827476,0.039204863974077395,0.8967249485318576,0.021967239824568975,0.853691089837997,0.03403600482922624
13,0.8852436323366557,0.04832436041460047,0.8745790847253289,0.05730314776462956,0.9158833878769022,0.030548884500337947,0.8852436323366556,0.04832436041460049
14,0.892579570688379,0.057579334114621517,0.8860827097789481,0.06265017642487786,0.9183111600556055,0.03616109698008464,0.8925795706883789,0.05757933411462149
15,0.9745361781076066,0.016090742877847064,0.974329704505699,0.01643428061336981,0.9770862767401312,0.013029176746719403,0.9745361781076067,0.016090742877847085
16,0.9157366071428572,0.05037764231959433,0.913363519706563,0.05271082212191825,0.9326139829597633,0.03462147102665014,0.9157366071428571,0.05037764231959437
17,0.9843808280492354,0.010062987335314227,0.9843604778800471,0.010066844698642797,0.9853582754300747,0.009107223376139815,0.9843808280492354,0.010062987335314235
18,0.987565445026178,0.006769686147112975,0.9875436562495936,0.006793989473414366,0.9881916713655003,0.006150265705134723,0.9875654450261779,0.006769686147112965
19,0.9933914510686164,0.0036156132765097224,0.9933850651692491,0.0036221645190468634,0.9935586534650533,0.003487420380275454,0.9933914510686164,0.003615613276509725
20,0.9794642857142858,0.010881068179306147,0.9793485439982094,0.01098490204736627,0.9812054414036815,0.009417970595917494,0.9794642857142857,0.01088106817930617
21,0.9918488503580851,0.004782495972203277,0.9918438947712709,0.00479057197826459,0.9920937626509894,0.0045325730072540895,0.9918488503580851,0.004782495972203285
22,0.9956065759637188,0.003741007454073012,0.9956046573584594,0.0037438688512877426,0.995735018172797,0.003547083673870128,0.9956065759637188,0.003741007454073018
23,0.9949791587722623,0.0028340802011465782,0.9949765096988763,0.0028370522021320347,0.995088739333162,0.00278660772600539,0.9949791587722623,0.0028340802011466177
24,0.996865501519757,0.0018097035413428295,0.9968645685859083,0.0018105381353230139,0.9969209573953952,0.0017394112816652922,0.996865501519757,0.0018097035413428514
25,0.9986190476190476,0.0012909944487358052,0.9986184810652965,0.001292368807545931,0.9986304001843349,0.001274083086654346,0.9986190476190477,0.001290994448735795
26,0.9973262032085561,0.0027144137516332914,0.9973251875250281,0.0027159267586986807,0.9973910884650419,0.00260560585489016,0.9973262032085561,0.0027144137516332697
27,0.9980371505170433,0.0010737103356954125,0.9980369010224852,0.0010740570190268506,0.9980605539963328,0.0010477393815987144,0.9980371505170432,0.0010737103356954192
28,0.9988959293394778,0.0007038632055787124,0.9988959008071963,0.0007038972322145011,0.9989054946594875,0.000693913546660525,0.9988959293394777,0.0007038632055786707
29,0.9993261455525606,0.00031927462363837676,0.9993260786724314,0.00031937421502546676,0.9993282143783744,0.00031802882218593054,0.9993261455525606,0.00031927462363837676
30,0.9986486486486487,0.0008414862825367995,0.9986483612346586,0.0008416475701607535,0.9986574190438638,0.0008311332421236037,0.9986486486486487,0.0008414862825368347
