load,scenario,snr_db,delta_degraded_modality_weight,delta_accuracy
2Nm,vibration_only_degraded,0.0,0.0,0.0
2Nm,vibration_only_degraded,-2.0,-0.003320686022440622,3.333333333321864e-05
2Nm,vibration_only_degraded,-4.0,-0.007349781195322702,-0.0017000000000000348
2Nm,vibration_only_degraded,-6.0,-0.012377564112345363,-0.01886666666666681
2Nm,vibration_only_degraded,-8.0,-0.017935319741567035,-0.06893333333333351
2Nm,vibration_only_degraded,-10.0,-0.024709769090016653,-0.1911666666666667
2Nm,current_only_degraded,0.0,0.0,0.0
2Nm,current_only_degraded,-2.0,0.009097148974736569,3.333333333321864e-05
2Nm,current_only_degraded,-4.0,0.01807369987169899,3.333333333321864e-05
2Nm,current_only_degraded,-6.0,0.02554233471552536,3.333333333321864e-05
2Nm,current_only_degraded,-8.0,0.030338976780573512,-0.00016666666666675933
2Nm,current_only_degraded,-10.0,0.03294552365938824,-0.0009333333333334526
