Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.9278933092224231,0.028785755905347103,0.9266408480046118,0.029937323817998237,0.9361422235269149,0.023675657711071774,0.9278933092224232,0.028785755905347064
6,0.945748730964467,0.029749889137449744,0.9450953015554378,0.03016233741162507,0.9492162151922228,0.02680059669294951,0.945748730964467,0.02974988913744972
7,0.9052162849872774,0.038628092026922516,0.9029847066856649,0.0409435664682786,0.9220987527079059,0.027846171997348183,0.9052162849872772,0.038628092026922536
8,0.9691144314868805,0.022363410273900215,0.9690795143542208,0.022372106871137522,0.9707521248378927,0.021085190837865166,0.9691144314868805,0.02236341027390015
9,0.9818688344903179,0.016045801414029746,0.981599533875999,0.01666726911648703,0.982322043596245,0.01612019050960616,0.9818688344903178,0.016045801414029722
10,0.9706501831501831,0.017543682052660613,0.9704421284627172,0.017838347121942707,0.9722640451856802,0.01596892716169294,0.9706501831501833,0.017543682052660593
11,0.9937109805361732,0.0028825427720234483,0.9937051060228198,0.0028915801678479846,0.9937767681802363,0.0028168720155783843,0.9937109805361732,0.002882542772023432
12,0.9890924153166422,0.006199187864093418,0.989072975186883,0.006225134210291034,0.9893778427721818,0.0059178205099856855,0.9890924153166422,0.006199187864093406
13,0.9873569582871908,0.005818346351475874,0.9873336300857872,0.005839970760589681,0.9876188233526625,0.005771819926368233,0.9873569582871908,0.005818346351475872
14,0.971502590673575,0.023611588066028935,0.9708929369301637,0.024920454165231413,0.9746063816988805,0.017854671900889997,0.971502590673575,0.02361158806602897
15,0.9876623376623377,0.005549605198941008,0.9876367634667027,0.0055742447955422665,0.9878324999872192,0.005510224432536602,0.9876623376623377,0.00554960519894099
16,0.9921409970238095,0.0027047787610148385,0.9921412874390472,0.002697692733015193,0.9922810627916376,0.0026323129085477157,0.9921409970238095,0.00270477876101485
17,0.9853599403207758,0.007222418097997473,0.9853545541918671,0.007231431424555092,0.9858168510621256,0.006841002475109746,0.9853599403207758,0.007222418097997443
18,0.9872849663425579,0.006584449088129764,0.987236701218569,0.006641160630182366,0.9878021921003893,0.00618271619148459,0.987284966342558,0.006584449088129778
19,0.994750656167979,0.002952383904766362,0.9947538446764501,0.0029450794582558393,0.9948770101340236,0.002781866648482472,0.9947506561679789,0.002952383904766307
20,0.993468045112782,0.004202872591886464,0.9934643260272573,0.004205122937817652,0.9935024123548162,0.0041829594703039225,0.993468045112782,0.0042028725918864685
21,0.9927440633245382,0.0022596266129441644,0.9927384679079194,0.0022668196765847594,0.9928858809229792,0.002134695838605398,0.9927440633245382,0.002259626612944158
22,0.9939531368102796,0.0036932766979765877,0.9939376536053552,0.0037195427698270933,0.9940282558628082,0.0036083591538201023,0.9939531368102796,0.0036932766979765777
23,0.9940318302387268,0.001929854943867316,0.9940310738289885,0.0019302879614202886,0.9941280046158983,0.0018611089935550863,0.9940318302387269,0.0019298549438672978
24,0.9919737841945289,0.002914888441880137,0.9919698208794111,0.0029172543060635887,0.9921694486206271,0.0027925022549546816,0.991973784194529,0.0029148884418801523
25,0.9946666666666667,0.003619047619047608,0.9946619293134872,0.003623091493117787,0.9947786945561128,0.0034304341326605635,0.9946666666666667,0.0036190476190475556
26,0.9833842627960274,0.027097737822089595,0.9833782726123653,0.027107298888112596,0.9854726973093195,0.022202238853205228,0.9833842627960274,0.027097737822089553
27,0.9934890846418997,0.005091817617889065,0.9934875315357061,0.005091201086405343,0.9936064550864083,0.005011092815614238,0.9934890846418997,0.0050918176178890735
28,0.9967837941628264,0.0014360863384842004,0.996782606282258,0.0014379069176037752,0.9968020435296796,0.0014281970877659115,0.9967837941628264,0.001436086338484213
29,0.9942241047362341,0.001972843813238287,0.9942238858781725,0.001973111970155218,0.9942941386470214,0.0019245366135756748,0.9942241047362341,0.0019728438132382764
30,0.9938223938223938,0.0028503519421300065,0.9938205664494657,0.002853125228145806,0.993949422919209,0.0027668086930572075,0.9938223938223938,0.0028503519421299935
